position,person,personID,start,end
Yang di_pertuan Agong (Monarch),Salahuddin of Selangor,Q654886,1999-04-26,2001-11-21
Yang di_pertuan Agong (Monarch),Sirajuddin of Perlis,Q460568,2001-12-13,2006-12-12
Yang di_pertuan Agong (Monarch),Mizan Zainal Abidin of Terengganu,Q299530,2006-12-13,2011-12-13
Yang di_pertuan Agong (Monarch),Abdul Halim of Kedah,Q57550,2011-12-13,2016-12-12
Yang di_pertuan Agong (Monarch),Muhammad V of Kelantan,Q5244614,2016-12-13,2019-01-06
Yang di_pertuan Agong (Monarch),Abdullah of Pahang,Q15467111,2019-01-31,
Prime Minister,Mahathir Mohamad,Q181383,1981-07-16,2003-10-31
Prime Minister,Abdullah Ahmad Badawi,Q272588,2003-10-31,2009-04-03
Prime Minister,Najib Razak,Q57675,2009-04-03,2018-05-10
Prime Minister,Mahathir Mohamad,Q181383,2018-05-10,2020-03-01
Prime Minister,Muhyiddin Yassin,Q1060949,2020-03-01,2021-08-16
Prime Minister,Ismail Sabri Yaakob,Q6084858,2021-08-21,
Deputy Prime Minister,Abdullah Ahmad Badawi,Q272588,1999-01-29,2003-10-31
Deputy Prime Minister,Najib Razak,Q57675,2008-01-07,2009-04-03
Deputy Prime Minister,Muhyiddin Yassin,Q1060949,2009-04-10,2015-07-28
Deputy Prime Minister,Ahmad Zahid Hamidi,Q4695503,2015-07-29,2018-05-10
Deputy Prime Minister,Wan Azizah Wan Ismail,Q468579,2018-05-21,2020-02-24
Deputy Prime Minister,Ismail Sabri Yaakob,Q6084858,2021-07-07,2021-08-16
Senior Minister,Ismail Sabri Yaakob,Q6084858,2020-03-10,2021-07-07
Senior Minister,Mohd Radzi Md Jidin,Q61113768,2020-03-10,2021-08-16
Senior Minister,Mohamed Azmin Ali,Q73962,2020-03-10,2021-08-16
Senior Minister,Hishammuddin Hussein,Q5772615,2021-07-07,2021-08-16
Senior Minister,Fadillah Yusof,Q5429257,2021-08-30,
Senior Minister,Hishammuddin Hussein,Q5772615,2021-08-30,
Senior Minister,Mohd Radzi Md Jidin,Q61113768,2021-08-30,
Senior Minister,Mohamed Azmin Ali,Q73962,2021-08-30,
Minister of Agriculture and Food Industries,Muhyiddin Yassin,Q1060949,2004-03-27,2008-03-18
Minister of Agriculture and Food Industries,Mustapa Mohamed,Q6155600,2008-03-19,2009-04-09
Minister of Agriculture and Food Industries,Ismail Sabri Yaakob,Q6084858,2013-05-16,2015-07-29
Minister of Agriculture and Food Industries,Ronald Kiandee,Q7365021,2021-08-30,
Minister of Communications and Multimedia,Annuar Musa,Q4769706,2021-08-30,
Minister of Defence,Najib Razak,Q57675,1999-12-15,2008-03-18
Minister of Defence,Abdullah Ahmad Badawi,Q272588,2008-03-19,2009-04-09
Minister of Defence,Ahmad Zahid Hamidi,Q4695503,2009-04-10,2013-05-16
Minister of Defence,Hishammuddin Hussein,Q5772615,2013-05-16,2018-05-09
Minister of Defence,Mohamad Sabu,Q6890904,2018-05-21,2020-02-24
Minister of Defence,Ismail Sabri Yaakob,Q6084858,2020-03-20,2021-08-16
Minister of Defence,Hishammuddin Hussein,Q5772615,2021-08-30,
"Minister of Domestic Trade, Co-operatives and Consumerism",Ismail Sabri Yaakob,Q6084858,2009-04-10,2013-05-15
"Minister of Domestic Trade, Co-operatives and Consumerism",Hassan Malek,Q5679746,2013,2015
