position,person,personID,start,end
member of the Sabah State Legislative Assembly,Jasnih Daya,Q100158674,2020-09-26,
member of the Sabah State Legislative Assembly,Wetrom Bahanda,Q100158700,2020-09-26,
member of the Sabah State Legislative Assembly,Abidin Madingkir,Q100158712,2020-09-26,
member of the Sabah State Legislative Assembly,Limus Jury,Q100163497,2020-09-26,
member of the Sabah State Legislative Assembly,Robert Tawik,Q100165974,2020-09-26,
member of the Sabah State Legislative Assembly,Yakubah Khan,Q100189870,2020-09-26,
member of the Sabah State Legislative Assembly,Jafry Arifin,Q100193554,2020-09-26,
member of the Sabah State Legislative Assembly,Shahelmey Yahya,Q100195394,2020-09-26,
member of the Sabah State Legislative Assembly,Hendrus Anding,Q100233540,2020-09-26,
member of the Sabah State Legislative Assembly,James Ratib,Q100233542,2020-09-26,
member of the Sabah State Legislative Assembly,Mohd. Tamin Zainal,Q100233633,2020-09-26,
member of the Sabah State Legislative Assembly,Samad Jambri,Q100233995,2020-09-26,
member of the Sabah State Legislative Assembly,Mohamad Hamsan Awang Supian,Q100233996,2020-09-26,
member of the Sabah State Legislative Assembly,Joniston Bangkuai,Q100234469,2020-09-26,
member of the Sabah State Legislative Assembly,Harun Durabi,Q100234483,2020-09-26,
member of the Sabah State Legislative Assembly,Julita Mojungki,Q100235037,2020-09-26,
member of the Sabah State Legislative Assembly,Ruddy Awah,Q100235258,2020-09-26,
member of the Sabah State Legislative Assembly,Flovia Ng,Q100235262,2020-09-26,
member of the Sabah State Legislative Assembly,Andi Muhammad Suryandy Bandy,Q100235410,2020-09-26,
member of the Sabah State Legislative Assembly,Jannie Lasimbang,Q100320043,2020-09-26,
member of the Sabah State Legislative Assembly,Rubin Balang,Q100529243,2020-09-26,
member of the Sabah State Legislative Assembly,Nizam Abu Bakar Titingan,Q104839772,2020-09-26,
member of the Sabah State Legislative Assembly,Annuar Ayub,Q106554659,2020-09-26,
member of the Sabah State Legislative Assembly,Fairuz Renddan,Q107313809,2020-09-26,
member of the Sabah State Legislative Assembly,Arsad Bistari,Q107325929,2020-09-26,
member of the Sabah State Legislative Assembly,Peto Galim,Q107398921,2020-09-26,
member of the Sabah State Legislative Assembly,Tan Lee Fatt,Q107406056,2020-09-26,
member of the Sabah State Legislative Assembly,Awang Ahmad Sah,Q108522619,2020-09-26,
member of the Sabah State Legislative Assembly,Juil Nuatim,Q108837672,2020-09-26,
member of the Sabah State Legislative Assembly,Ruslan Muharam,Q109700937,2020-09-26,
member of the Sabah State Legislative Assembly,Hassan A Gani Pg Amir,Q110133105,2020-09-26,
member of the Sabah State Legislative Assembly,Jonnybone J Kurum,Q111036232,2020-09-26,
member of the Sabah State Legislative Assembly,Mokran Ingkat,Q111040763,2020-09-26,
member of the Sabah State Legislative Assembly,Alias Sani,Q111161330,2020-09-26,
member of the Sabah State Legislative Assembly,Calvin Chong Ket Kiun,Q111161905,2020-09-26,
member of the Sabah State Legislative Assembly,Hamild @ Hamid bin Awang,Q111361965,2020-09-26,
member of the Sabah State Legislative Assembly,Justin Wong Yung Bin,Q111361994,2020-09-26,
member of the Sabah State Legislative Assembly,Rina Jainal,Q113481829,2020-09-26,
member of the Sabah State Legislative Assembly,Salleh Said Keruak,Q1441575,2020-09-26,
member of the Sabah State Legislative Assembly,Christina Liew,Q38460535,2020-09-26,
member of the Sabah State Legislative Assembly,Bung Moktar Radin,Q4997592,2020-09-26,
member of the Sabah State Legislative Assembly,Ignatius Dorell Leiking,Q53906556,2020-09-26,
member of the Sabah State Legislative Assembly,Mohammadin Keretapi,Q54196272,2020-09-26,
member of the Sabah State Legislative Assembly,Jeffrey Kitingan,Q6176100,2020-09-26,
member of the Sabah State Legislative Assembly,Shafie Apdal,Q7461040,2020-09-26,
member of the Sabah State Legislative Assembly,Hajiji Noor,Q85974530,2020-09-26,
member of the Sabah State Legislative Assembly,Isnin Aliasnih,Q85974701,2020-09-26,
member of the Sabah State Legislative Assembly,Masidi Manjun,Q85974705,2020-09-26,
member of the Sabah State Legislative Assembly,Abdul Ghani Mohamed Yassin,Q85975965,2020-09-26,
member of the Sabah State Legislative Assembly,Jahid Jahim,Q89157634,2020-09-26,
member of the Sabah State Legislative Assembly,Peter Anthony,Q97211715,2020-09-26,
