wanted,position,positionid,from,start,end
Q20467079,Minister in the Prime Minister's Department (Religious Affairs),Q113569822,Q20451202,2021-08-30,
Q1060949,Minister of Home Affairs,Q23939417,Q5646531,2020-03-10,2021-08-16
Q53761570,Minister of Education,Q30601368,Q61113768,2020-03-10,2021-08-16
Q54005229,Minister of Rural and Regional Development,Q30601414,Q4665513,2020-03-10,2021-08-16
Q55760030,Minister of Entrepreneur Development (Malaysia),Q55623237,Q7967007,2020-03-10,2021-08-16
Q707164,Minister of Finance,Q25241999,Q8064320,2020-03-10,2021-08-16
Q73962,Minister in the Prime Minister's Department,Q24949267,Q6155600,2020-03-10,2021-08-16
Q65924454,Chief of Defence Forces,Q20462450,Q82716484,2020-01-02,
Q25486286,member of the Johor State Legislative Assembly,Q107099453,Q110134843,2018-06-28,2022-01-22
Q47544871,member of the Johor State Legislative Assembly,Q107099453,Q65220052,2018-06-28,2022-01-22
Q4665636,Minister of Finance,Q25241999,Q73962,2018-05-21,2020-02-24
Q18350508,Menteri Besar of Terengganu,Q105598301,Q53870603,2018-05-10,
Q10943714,Member of the Dewan Rakyat,Q21290861,Q55847765,2018-05-09,
Q12685024,member of the Perak State Legislative Assembly,Q98520101,Q108648608,2018,
Q1449940,Minister of Youth and Sports,Q30601401,Q39050368,2018,2020
Q15940159,member of the Kedah State Legislative Assembly,Q107099508,Q65219697,2018,
Q15942029,member of the Perak State Legislative Assembly,Q98520101,Q108648349,2018,
Q20451196,member of the Perak State Legislative Assembly,Q98520101,Q108653835,2018,
Q38460436,Member of the Dewan Rakyat,Q21290861,Q65219707,2018,
Q5243141,Member of the Dewan Rakyat,Q21290861,Q39050368,2018,
Q6894002,member of the Perak State Legislative Assembly,Q98520101,Q108648724,2018,
Q3536391,Minister of Natural Resources and Environment,Q30601398,Q7967007,2015-07-29,2018-05-09
Q7461040,Minister of Rural and Regional Development,Q30601414,Q6084858,2015-07-29,2018-05-09
Q4115067,member of the Kelantan State Legislative Assembly,Q107099540,Q25486318,2015-03-22,
Q253136,Minister of Transport,Q25242000,Q5772615,2013-05-16,2014-06-25
Q6891417,Minister in the Prime Minister's Department,Q24949267,Q7461744,2013-05-16,2018-05-09
Q7047541,Minister of Agriculture and Food Industries,Q30601423,Q6084858,2013-05-16,2015-07-29
Q72958,member of the Selangor State Legislative Assembly,Q61914061,Q4665485,2013-05-06,2018-05-09
Q12689551,member of the Sabah State Legislative Assembly,Q61914038,Q96048979,2013-05-05,2018-05-09
Q13403343,Member of the Dewan Rakyat,Q21290861,Q6147742,2013-05-05,2018-05-09
Q4832223,Member of the Dewan Rakyat,Q21290861,Q20457974,2013-05-05,2018-05-09
