wanted,position,positionid,from,start,end
Q6155600,Minister of Finance,Q25241999,Q73962,2018-05-21,2020-02-24
Q19646358,Minister of Youth and Sports,Q30601401,Q39050368,2018,2020
Q53761570,Minister of Education,Q30601368,Q6733710,2015-07-29,2018-05-09
Q54005229,Minister of Rural and Regional Development,Q30601414,Q6084858,2015-07-29,2018-05-09
Q18684048,Menteri Besar of Selangor,Q6589950,Q73962,2014-09-23,2018-06-19
Q11879080,Minister of Transport,Q25242000,Q1049213,2014-06-27,2018-05-10
Q4695471,Minister of Agriculture and Food Industries,Q30601423,Q6084858,2013-05-16,2015-07-29
Q65221020,member of the Selangor State Legislative Assembly,Q61914061,Q4665485,2013-05-06,2018-05-09
Q99842381,member of the Sabah State Legislative Assembly,Q61914038,Q96048979,2013-05-05,2018-05-09
Q102197404,member of the Selangor State Legislative Assembly,Q61914061,Q25486232,2013,2018
Q110132044,member of the Johor State Legislative Assembly,Q107099453,Q111026073,2013,2018
Q61357026,member of the Perak State Legislative Assembly,Q98520101,Q25486283,2013,2018
Q85974135,member of the Johor State Legislative Assembly,Q107099453,Q25485909,2013,2018
Q85975524,member of the Johor State Legislative Assembly,Q107099453,Q111025023,2011-01-30,2018-04-07
Q7047541,Minister of Agriculture and Food Industries,Q30601423,Q6155600,2008-03-19,2009-04-09
Q7093808,Minister of International Trade and Industry,Q25240869,Q1060949,2008-03-19,2009-04-09
Q4695471,Minister of Youth and Sports,Q30601401,Q6084858,2008-03-18,2009-04-09
Q20451202,member of the Selangor State Legislative Assembly,Q61914061,Q4665485,2008-03-08,2013-05-05
Q25486210,member of the Selangor State Legislative Assembly,Q61914061,Q73142,2008,2013
Q25486355,member of the Kelantan State Legislative Assembly,Q107099540,Q20465839,2008,2013
Q6155600,member of the Kelantan State Legislative Assembly,Q107099540,Q97203181,2008,2013
Q65220045,member of the Kelantan State Legislative Assembly,Q107099540,Q7302842,2008,2018
Q65223108,member of the Selangor State Legislative Assembly,Q61914061,Q12681926,2008,2018
Q6933490,member of the Kedah State Legislative Assembly,Q107099508,Q4665340,2008,2013
Q6891328,Minister of Education,Q30601368,Q6155600,2006-02-14,2008-03-18
Q4832746,Menteri Besar of Kedah,Q889111,Q6733710,2005-12-29,2008-03-09
Q1060949,Minister of Higher Education,Q30601405,Q5772615,2004-03-27,2009-04-09
Q4260088,Minister of Rural and Regional Development,Q30601414,Q4665287,2004-03-27,2008-03-18
Q6893881,Minister in the Prime Minister's Department,Q24949267,Q6155600,2004-03-27,2006-02-14
Q5088777,Member of the Dewan Rakyat,Q21290861,Q7458721,2004,2008
Q7699790,Minister in the Prime Minister's Department,Q24949267,Q4343921,1999-12-15,2002-11-20
Q4832158,Minister of Youth and Sports,Q30601401,Q5772615,1999-12-14,2004-03-26
Q12688054,Menteri Besar of Terengganu,Q105598301,Q2495157,1999-11-30,2004-03-21
Q7132782,Member of the Dewan Rakyat,Q21290861,Q12697930,1999-11-29,2013-05-05
Q11109050,member of the Perlis State Legislative Assembly,Q107099788,Q65219705,1999,2004
Q16193283,member of the Kedah State Legislative Assembly,Q107099508,Q4665340,1999,2004
Q20465698,Member of the Terengganu State Legislative Assembly,Q107099954,Q12681972,1999,2004
Q5948924,member of the Kelantan State Legislative Assembly,Q107099540,Q110134700,1999,2008
Q7302816,Member of the Dewan Rakyat,Q21290861,Q73142,1999,2004
Q12698220,Member of the Terengganu State Legislative Assembly,Q107099954,Q111034114,1995,2004
Q5948924,member of the Kelantan State Legislative Assembly,Q107099540,Q4665384,1995,2004
Q6155600,member of the Kelantan State Legislative Assembly,Q107099540,Q97203181,1995,2004
Q6127705,"Minister of Energy, Green Technology and Water",Q30601441,Q42836537,1990-10-27,2004-03-26
Q20449166,Member of the Dewan Rakyat,Q21290861,Q2495157,1990,2004
